Round,Grand Prix,Location,Date,Fastest Lap Driver,P1,P1 Team,P1 Points,P2,P2 Team,P2 Points,P3,P3 Team,P3 Points,P4,P4 Team,P4 Points,P5,P5 Team,P5 Points,P6,P6 Team,P6 Points,P7,P7 Team,P7 Points,P8,P8 Team,P8 Points,P9,P9 Team,P9 Points,P10,P10 Team,P10 Points
1,Australian,Melbourne Grand Prix Circuit,26/03/2017,Kimi Raikkonen,Sebastian Vettel,Ferrari,25,Lewis Hamilton,Mercedes,18,Valtteri Bottas,Mercedes,15,Kimi Raikkonen,Ferrari,12,Max Verstappen,Red Bull,10,Felipe Massa,Williams,8,Sergio Perez,Force India,6,Carlos Sainz Jnr,Toro Rosso,4,Daniil Kvyat,Toro Rosso,2,Esteban Ocon,Force India,1
2,Chinese,Shanghai IC,09/04/2017,Lewis Hamilton,Lewis Hamilton,Mercedes,25,Sebastian Vettel,Ferrari,18,Max Verstappen,Red Bull,15,Daniel Ricciardo,Red Bull,12,Kimi Raikkonen,Ferrari,10,Valtteri Bottas,Mercedes,8,Carlos Sainz Jnr,Toro Rosso,6,Kevin Magnussen,Haas,4,Sergio Perez,Force India,2,Esteban Ocon,Force India,1
3,Bahrain,Bahrain IC,16/04/2017,Lewis Hamilton,Sebastian Vettel,Ferrari,25,Lewis Hamilton,Mercedes,18,Valtteri Bottas,Mercedes,15,Kimi Raikkonen,Ferrari,12,Daniel Ricciardo,Red Bull,10,Felipe Massa,Williams,8,Sergio Perez,Force India,6,Romain Grosjean,Haas,4,Nico Hulkenberg,Renault,2,Esteban Ocon,Force India,1
4,Russian,Sochi,30/04/2017,Kimi Raikkonen,Valtteri Bottas,Mercedes,25,Sebastian Vettel,Ferrari,18,Kimi Raikkonen,Ferrari,15,Lewis Hamilton,Mercedes,12,Max Verstappen,Red Bull,10,Sergio Perez,Force India,8,Esteban Ocon,Force India,6,Nico Hulkenberg,Renault,4,Felipe Massa,Williams,2,Carlos Sainz Jnr,Toro Rosso,1
5,Spanish,Circuit de Catalunya,14/05/2017,Lewis Hamilton,Lewis Hamilton,Mercedes,25,Sebastian Vettel,Ferrari,18,Daniel Ricciardo,Red Bull,15,Sergio Perez,Force India,12,Esteban Ocon,Force India,10,Nico Hulkenberg,Renault,8,Carlos Sainz Jnr,Toro Rosso,6,Pascal Wehrlein,Sauber,4,Daniil Kvyat,Toro Rosso,2,Romain Grosjean,Haas,1
6,Monaco,Monte Carlo,28/05/2017,,Sebastian Vettel,Ferrari,25,Kimi Raikkonen,Ferrari,18,Daniel Ricciardo,Red Bull,15,Valtteri Bottas,Mercedes,12,Max Verstappen,Red Bull,10,Carlos Sainz Jnr,Toro Rosso,8,Lewis Hamilton,Mercedes,6,Romain Grosjean,Haas,4,Felipe Massa,Williams,2,Kevin Magnussen,Haas,1
7,Canadian,Gilles Villeneuve,11/06/2017,Lewis Hamilton,Lewis Hamilton,Mercedes,25,Valtteri Bottas,Mercedes,18,Daniel Ricciardo,Red Bull,15,Sebastian Vettel,Ferrari,12,Sergio Perez,Force India,10,Esteban Ocon,Force India,8,Kimi Raikkonen,Ferrari,6,Nico Hulkenberg,Renault,4,Lance Stroll,Williams,2,Romain Grosjean,Haas,1
8,Azerbaijan,Baku City Circuit,25/06/2017,Sebastian Vettel,Daniel Ricciardo,Red Bull,25,Valtteri Bottas,Mercedes,18,Lance Stroll,Williams,15,Sebastian Vettel,Ferrari,12,Lewis Hamilton,Mercedes,10,Esteban Ocon,Force India,8,Kevin Magnussen,Haas,6,Carlos Sainz Jnr,Toro Rosso,4,Fernando Alonso,McLaren,2,Pascal Wehrlein,Sauber,1
9,Austrian,Red Bull Ring,09/07/2017,Lewis Hamilton,Valtteri Bottas,Mercedes,25,Sebastian Vettel,Ferrari,18,Daniel Ricciardo,Red Bull,15,Lewis Hamilton,Mercedes,12,Kimi Raikkonen,Ferrari,10,Romain Grosjean,Haas,8,Sergio Perez,Force India,6,Esteban Ocon,Force India,4,Felipe Massa,Williams,2,Lance Stroll,Williams,1
10,British,Silverstone,16/07/2017,Lewis Hamilton,Lewis Hamilton,Mercedes,25,Valtteri Bottas,Mercedes,18,Kimi Raikkonen,Ferrari,15,Max Verstappen,Red Bull,12,Daniel Ricciardo,Red Bull,10,Nico Hulkenberg,Renault,8,Sebastian Vettel,Ferrari,6,Esteban Ocon,Force India,4,Sergio Perez,Force India,2,Felipe Massa,Williams,1
