Round,Grand Prix,Location,Date,Fastest Lap Driver,P1,P1 Team,P1 Points,P2,P2 Team,P2 Points,P3,P3 Team,P3 Points,P4,P4 Team,P4 Points,P5,P5 Team,P5 Points,P6,P6 Team,P6 Points,P7,P7 Team,P7 Points,P8,P8 Team,P8 Points,P9,P9 Team,P9 Points,P10,P10 Team,P10 Points
11,Hungarian,Hungaroring,30/07/2017,Fernando Alonso,Sebastian Vettel,Ferrari,25,Kimi Raikkonen,Ferrari,18,Valtteri Bottas,Mercedes,15,Lewis Hamilton,Mercedes,12,Max Verstappen,Red Bull,10,Fernando Alonso,McLaren,8,Carlos Sainz Jnr,Toro Rosso,6,Sergio Perez,Force India,4,Esteban Ocon,Force India,2,Stoffel Vandoorne,McLaren,1
12,Belgian,Spa-Francorchamps,27/08/2017,Sebastian Vettel,Lewis Hamilton,Mercedes,25,Sebastian Vettel,Ferrari,18,Daniel Ricciardo,Red Bull,15,Kimi Raikkonen,Ferrari,12,Valtteri Bottas,Mercedes,10,Nico Hulkenberg,Renault,8,Romain Grosjean,Haas,6,Felipe Massa,Williams,4,Esteban Ocon,Force India,2,Carlos Sainz Jnr,Toro Rosso,1
13,Italian,Monza,03/09/2017,Daniel Ricciardo,Lewis Hamilton,Mercedes,25,Valtteri Bottas,Mercedes,18,Sebastian Vettel,Ferrari,15,Daniel Ricciardo,Red Bull,12,Kimi Raikkonen,Ferrari,10,Esteban Ocon,Force India,8,Lance Stroll,Williams,6,Felipe Massa,Williams,4,Sergio Perez,Force India,2,Max Verstappen,Red Bull,1
14,Singapore,Marina Bay,17/09/2017,Lewis Hamilton,Lewis Hamilton,Mercedes,25,Daniel Ricciardo,Red Bull,18,Valtteri Bottas,Mercedes,15,Carlos Sainz Jnr,Toro Rosso,12,Sergio Perez,Force India,10,Jolyon Palmer,Renault,8,Stoffel Vandoorne,McLaren,6,Lance Stroll,Williams,4,Romain Grosjean,Haas,2,Esteban Ocon,Force India,1
15,Malaysian,Sepang IC,01/10/2017,Sebastian Vettel,Max Verstappen,Red Bull,25,Lewis Hamilton,Mercedes,18,Daniel Ricciardo,Red Bull,15,Sebastian Vettel,Ferrari,12,Valtteri Bottas,Mercedes,10,Sergio Perez,Force India,8,Stoffel Vandoorne,McLaren,6,Lance Stroll,Williams,4,Felipe Massa,Williams,2,Esteban Ocon,Force India,1
16,Japanese,Suzuka,08/10/2017,Valtteri Bottas,Lewis Hamilton,Mercedes,25,Max Verstappen,Red Bull,18,Daniel Ricciardo,Red Bull,15,Valtteri Bottas,Mercedes,12,Kimi Raikkonen,Ferrari,10,Esteban Ocon,Force India,8,Sergio Perez,Force India,6,Kevin Magnussen,Haas,4,Romain Grosjean,Haas,2,Felipe Massa,Williams,1
17,United States,Circuit of the Americas,22/10/2017,Sebastian Vettel,Lewis Hamilton,Mercedes,25,Sebastian Vettel,Ferrari,18,Kimi Raikkonen,Ferrari,15,Max Verstappen,Red Bull,12,Valtteri Bottas,Mercedes,10,Esteban Ocon,Force India,8,Carlos Sainz Jnr,Renault,6,Sergio Perez,Force India,4,Felipe Massa,Williams,2,Daniil Kvyat,Toro Rosso,1
18,Mexican,Autodromo Hermanos Rodriguez,29/10/2017,Sebastian Vettel,Max Verstappen,Red Bull,25,Valtteri Bottas,Mercedes,18,Kimi Raikkonen,Ferrari,15,Sebastian Vettel,Ferrari,12,Esteban Ocon,Force India,10,Lance Stroll,Williams,8,Sergio Perez,Force India,6,Kevin Magnussen,Haas,4,Lewis Hamilton,Mercedes,2,Fernando Alonso,McLaren,1
19,Brazilian,Interlagos,12/11/2017,Max Verstappen,Sebastian Vettel,Ferrari,25,Valtteri Bottas,Mercedes,18,Kimi Raikkonen,Ferrari,15,Lewis Hamilton,Mercedes,12,Max Verstappen,Red Bull,10,Daniel Ricciardo,Red Bull,8,Felipe Massa,Williams,6,Fernando Alonso,McLaren,4,Sergio Perez,Force India,2,Nico Hulkenberg,Renault,1
20,Abu Dhabi,Yas Marina,26/11/2017,Valtteri Bottas,Valtteri Bottas,Mercedes,25,Lewis Hamilton,Mercedes,18,Sebastian Vettel,Ferrari,15,Kimi Raikkonen,Ferrari,12,Max Verstappen,Red Bull,10,Nico Hulkenberg,Renault,8,Sergio Perez,Force India,6,Esteban Ocon,Force India,4,Fernando Alonso,McLaren,2,Felipe Massa,Williams,1
